NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
2523;Ryba;1980 PV;EOS;A;S;C;;19.52;M;11.3;;A;;0.14;;9.39;;;;;0.18;3;;;;;;
2531;Cambridge;1980 LD;EOS;A;S;D;;19.15;M;10.9;;D;;0.2102;;12.2;;;;0.2;0.21;2;;;;;;
2562;Chaliapin;1973 FF1;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;11.45;;;;;0.4;3;;;;Y;;
2578;Saint-Exup;ery                  1975 VW3;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;8.146;;;;;0.22;3;;;;;;
2596;Vainu Bapp;u                    1979 KN;EOS;A;S;C;;8.52;M;13.1;;A;;0.14;;16.45;;;;0.19;0.22;2;;;;;;Y
2622;Bolzano;1981 CM;EOS;A;S;C;;13.25;T;12.14;;A;;0.14;;3.057;;;;;0.34;2;;;;;;Y
2636;Lassell;1982 DZ;EOS;A;S;C;;17;M;11.6;;A;;0.14;;5.012;;;;;0.27;3;-;;;;;
2661;Bydzovsky;1982 FC1;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;48.32;;;;;0.63;2;;;;;;
2677;Joan;1935 FF;EOS;A;S;C;;15.95;T;11.74;;A;;0.14;;16.97;;;;;0.52;2;;;;Y;;Y
2686;* Linda Susa;n                    1981 JW1;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;S;8.7222;;;;;;2;N;;;Y;;Y
2706;Borovsky;1980 VW;EOS;A;S;C;;15.5;M;11.8;;A;;0.14;;63.846;;;;;0.61;2;;;;;;Y
2740;Tsoj;1974 SY4;EOS;A;S;C;;15.74;T;11.77;;A;;0.14;;22.042;;;;;0.89;2;;;;Y;;Y
2752;Wu Chien-S;hiung                1965 SP;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;36.343;;;;;0.28;2;;;;;;Y
2804;Yrjo;1941 HF;EOS;A;S;D;;22.65;T;11.7;;D;;0.0719;;8.12;;;;0.25;0.26;2;+;;;;;Y
2836;Sobolev;1978 YQ;EOS;A;S;C;;18.64;M;11.4;;A;;0.14;S;4.7549;;;;;;2;N;;;Y;Y;
2889;Brno;1981 WT1;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;9.51;;;;0.51;0.8;2;+;;;;;
2909;Hoshi-no-i;e                    1983 JA;EOS;A;C;C;;21.4;M;11.1;;A;;0.14;;;;;;;0.23;;N;;;;;
2928;Epstein;1976 GN8;EOS;A;S;C;;14.94;T;11.88;;A;;0.14;;8.509;;;;;0.37;2;;;;;;Y
2957;Tatsuo;1934 CB1;EOS;S;K;D;;25.16;M;10.8;;D;;0.1336;;6.8191;;;;0.52;0.53;3;;;;Y;;
3003;Koncek;1983 YH;EOS;A;S;C;;19.52;M;11.3;;A;;0.14;;8.023;;;;;0.51;3;-;;;;;
3028;Zhangguoxi;1978 TA2;EOS;S;K;D;;25.65;M;10.6;;D;;0.1545;;4.826;;;;0.12;0.25;3;;;;;;
3062;Wren;1982 XC;EOS;A;S;D;;24.97;M;10.8;;D;;0.1356;;7.097;;;;0.17;0.25;2;+;;;;;
3088;Jinxiuzhon;ghua                 1981 UX9;EOS;A;S;C;;14.24;T;11.98;;A;;0.14;;6.005;;;;;0.31;2;;;;;;Y
3140;Stellafane;1983 AO;EOS;A;S;D;;24.75;M;10.9;;D;;0.1258;;19.23;;;;;0.17;2;+;;;;;
3194;Dorsey;1982 KD1;EOS;A;S;C;;11.22;T;12.5;;A;;0.14;;17.81;;;;;0.44;2;;;;;;Y
3196;Maklaj;1978 RY;EOS;A;S;C;;12.56;T;12.26;;A;;0.14;;21.807;;;;;0.45;2;;;;;;Y
3232;Brest;1974 SL;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;;5.288;;;;;0.25;2;;;;;;
3237;Victorplat;t                    1984 SA5;EOS;A;S;D;;25.94;L;10.58;;D;;0.1539;;10.36;;;;;0.24;2;;;;;;
3250;Martebo;1979 EB;EOS;A;S;C;;19.52;M;11.3;;A;;0.14;;9.495;;;;0.35;0.52;3;;;;;;
3262;Miune;1983 WB;EOS;S;X;C;;22.41;M;11;;A;;0.14;;18.692;;;;0.3;0.38;3;;;;;;
3310;Patsy;1931 TS2;EOS;A;S;C;;25.73;M;10.7;;A;;0.14;;9.36;;;;;0.15;3;;;;;;
3312;Pedersen;1984 SN;EOS;A;S;C;;15.49;T;11.8;;A;;0.14;;24.438;;;;;0.15;2;;;;;;Y
3318;Blixen;1985 HB;EOS;A;S;D;;23.55;M;10.9;;D;;0.1391;;6.456;;;;0.2;0.23;2;+;;;;;
3366;Godel;1985 SD1;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;4.684;;;;;0.2;2;+;;;;;
3425;Hurukawa;1929 BD;EOS;A;S;D;;25.25;M;11;;D;;0.1103;;24.84;;;;0.17;0.47;3;-;;;;;
3469;Bulgakov;1982 UL7;EOS;A;C;C;;21.4;M;11.1;;A;;0.14;;6.48;;;;;0.09;1;;;;;;
3506;French;1984 CO1;EOS;A;S;C;;13.68;T;12.07;;A;;0.14;;16.756;;;;;0.69;2;;;;;;Y
3560;Chenqian;1980 RZ2;EOS;A;S;D;;29.69;M;10.9;;D;;0.0874;;18.79;;;;;0.26;3;-;;;;;
3570;Wuyeesun;1979 XO;EOS;A;S;C;;18.17;T;11.46;;A;;0.14;;15.459;;;;;0.45;2;;;;;;Y
3582;Cyrano;1986 TT5;EOS;A;C;C;;16.23;M;11.7;;A;;0.14;;;;;;;;;N;;;;;
3638;Davis;1984 WX;EOS;A;S;D;;16.69;L;11.64;;A;;0.14;;8.9;;;;;0.4;2;;;;;;
3713;Pieters;1985 FA2;EOS;S;K;C;;17.8;M;11.5;;A;;0.14;;6.9;;;;;0.1;2;;;;;;
3721;Widorn;1982 TU;EOS;A;S;C;;13.02;T;12.18;;A;;0.14;;84.96;;;;;0.19;2;;;;;;Y
3772;Piaf;1982 UR7;EOS;A;S;D;;25.89;M;11.3;;D;;0.0796;;5.376;;;;0.45;0.53;3;;;;Y;;
3774;Megumi;1987 YC;EOS;A;C;C;;20.44;M;11.2;;A;;0.14;;;;;;;0.11;;N;;;;;
3820;Sauval;1984 DV;EOS;A;S;C;;10.53;T;12.64;;A;;0.14;;3.27;;;;;0.24;2;;;;;;Y
3896;Pordenone;1987 WB;EOS;A;S;L;;19.93;L;11.61;;L;;0.1009;;4.009;;;;0.24;0.37;3;;;;Y;;
3914;Kotogahama;1987 SE;EOS;A;S;C;;13.61;T;12.08;;A;;0.14;;16.716;;;;;0.28;2;;;;;;Y
3992;Wagner;1987 SA7;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;20.628;;;;;0.29;2;-;;;;;
4041;Miyamotoyo;hko                  1988 DN1;EOS;A;S;C;;20.44;M;11.2;;A;;0.14;;7.694;;;;;0.13;2;-;;;;;
4058;Cecilgreen;1986 JV;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;7.34;;;;0.15;0.25;2;;;;;;
4059;Balder;1987 SB5;EOS;A;S;C;;18.64;M;11.4;;A;;0.14;;9.7215;;;;;0.2;3;;;;;;
