NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
5351;Diderot;1989 SG5;V;A;S;C;;6.81;M;13.2;;A;;0.2;;9.984;;;;;0.45;3;;;;;;
5425;Vojtech;1984 SA1;V;A;S;C;;7.13;M;13.1;;A;;0.2;;2.6476;;;;0.25;0.27;3;;B;;;;
5474;Gingasen;1988 XE1;V;A;S;D;;6.68;L;13.28;;A;;0.2;;3.6242;;;;0.11;0.18;3;;?;;;;
5599;1991 SG1;1991 SG1;V;A;V;C;;5.53;M;12.9;;A;;0.4;;3.6195;;;;0.26;0.36;3;;;;Y;;
5875;Kuga;1989 XO;V;A;S;C;;9.4;M;12.5;;A;;0.2;;5.551;;;;0.24;0.35;3;;;;Y;;
5984;* Lysippus;4045 T-3;V;A;S;C;;5.16;M;13.8;;A;;0.2;S;4.8709;;;;;;2;N;;;Y;;
5986;Xenophon;1969 TA;V;A;S;C;;7.82;M;12.9;;A;;0.2;;6.921;;;;0.36;0.4;3;;;;;;
6043;Aurochs;1991 RK2;V;A;S;C;;6.81;M;13.2;;A;;0.2;;;;;;;0.45;;N;;;;;
6131;Towen;1990 OO3;V;A;S;C;;4.6;T;14.05;;A;;0.2;;6.77;;;;;0.25;2;;;;;;Y
6331;1992 FZ1;1992 FZ1;V;A;S;C;;6.81;M;13.2;;A;;0.2;;9.333;;;;0.28;0.6;2;+;;;;;
6360;* 1978 UA7;1978 UA7;V;A;S;C;;6.81;M;13.2;;A;;0.2;S;10.6057;;;;;;2;N;;;Y;;
6659;Pietsch;1992 YN;V;A;S;C;;6.21;T;13.4;;A;;0.2;;12.985;;;;;0.31;2;;;;;;Y
6809;Sakuma;1938 DM1;V;A;S;C;;6.21;M;13.4;;A;;0.2;;2.5749;;;;;0.1;3;;?;;;;
6956;Holbach;1988 CX3;V;A;S;C;;4.32;T;14.19;;A;;0.2;;4.463;;;;;0.49;2;;;;;;Y
7001;Noether;1955 EH;V;A;S;C;;5.4;T;13.7;;A;;0.2;;9.5809;;;;0.65;0.7;3;;;;Y;;
7005;Henninghaa;ck                   1981 ET25;V;A;S;C;;3.34;T;14.75;;A;;0.2;;12.914;;;;;0.76;2;;;;;;Y
7023;Heiankyo;1992 KE;V;A;S;C;;5.99;T;13.48;;A;;0.2;;10.807;;;;0.48;0.58;3;;;;;;
7111;1985 QA1;1985 QA1;V;A;S;C;;5.66;M;13.6;;A;;0.2;;11.21;;;;;0.21;3;-;;;;;
7144;Dossobuono;1996 KQ;V;A;S;C;;5.16;M;13.8;;A;;0.2;;3.4685;;;;;0.19;2;+;;;;;
7201;Kuritariku;1994 UF1;V;A;S;C;;6.5;M;13.3;;A;;0.2;;;;;;;;;;;Y;Y;;
7292;* Prosperin;1992 EM7;V;A;S;C;;5.41;M;13.7;;A;;0.2;S;5.5889;;;;;;2;N;;;Y;;
7334;Sciurus;1988 QV;V;A;S;C;;5.66;M;13.6;;A;;0.2;;4.0659;;;;;0.28;3;;;;;;
7471;1991 YD;1991 YD;V;A;S;C;;3.77;T;14.49;;A;;0.2;;19.15;;;;;0.48;2;;;;;;Y
7484;Dogo Onsen;1994 WF4;V;A;S;C;;3.03;T;14.96;;A;;0.2;;6.237;;;;0.53;0.75;2;;;;;;Y
7767;Tomatic;1991 RB5;V;A;S;C;;4.16;T;14.27;;A;;0.2;;25.07;;;;;0.13;2;;;;;;Y
7831;Francois-X;avier                1993 FQ;V;A;S;C;;4.63;T;14.04;;A;;0.2;;9.94;;;;;0.2;2;;;;;;Y
7946;1991 RV13;1991 RV13;V;A;S;C;;4.4;T;14.15;;A;;0.2;;51.343;;;;;0.23;2;;;;;;Y
8108;* Wieland;1995 BC16;V;A;S;C;;5.16;M;13.8;;A;;0.2;S;28.5696;;;;;;2;N;;;Y;;
8272;Iitatemura;1989 SG;V;A;S;C;;6.5;M;13.3;;A;;0.2;;3.1174;;;;;0.35;3;-;;;;;
8359;1989 WD;1989 WD;V;A;S;C;;6.5;M;13.3;;A;;0.2;;2.8911;;;;0.34;0.7;3;;;;Y;;
8528;* 1992 SC24;1992 SC24;V;A;S;C;;5.41;M;13.7;;A;;0.2;S;5.0212;;;;;;2;N;;;Y;;
8645;1988 TN;1988 TN;V;A;V;C;;5.66;M;13.6;;A;;0.2;;7.616;;;;;0.36;3;-;;;;;
8691;Etsuko;1992 UZ1;V;A;S;C;;5.41;M;13.7;;A;;0.2;;9.6;;;;;0.09;1;;;;;;
8692;1992 WH;1992 WH;V;A;S;C;;3.87;T;14.43;;A;;0.2;;4.698;;;;;0.2;2;;;;;;Y
9115;Battisti;1997 DG;V;A;S;C;;5.14;T;13.81;;A;;0.2;;5.023;;;;;0.07;1;;;;;;Y
9136;Lalande;4886 T-1;V;A;S;C;;4.5;T;14.1;;A;;0.2;;5.75;;;;;0.13;2;;;;;;Y
9199;1993 FO1;1993 FO1;V;A;S;C;;7.13;M;13.1;;A;;0.2;;5.322;;;;;0.47;2;+;;;;;
9220;Yoshidayam;a                    1995 XL1;V;A;S;C;;4.05;T;14.33;;A;;0.2;;6.04;;;;;1.02;2;;;;;;Y
9295;Donaldyoun;g                    1983 RT1;V;A;S;C;;3.48;T;14.66;;A;;0.2;;5.13;;;;;0.12;2;-;;;;;Y
9325;Stonehenge;1989 GG4;V;A;S;C;;4.68;T;14.01;;A;;0.2;;4.607;;;;;0.16;2;;;;;;Y
9344;Klopstock;1991 RB4;V;A;S;C;;3.66;T;14.55;;A;;0.2;;5.842;;;;;0.38;2;;;;;;Y
9392;Cavaillon;1994 PK7;V;A;S;C;;4.03;T;14.34;;A;;0.2;;5.524;;;;;0.36;2;;;;;;Y
9604;Bellevanzu;ylen                 1991 YW;V;A;S;C;;2.75;T;15.17;;A;;0.2;;8.187;;;;;0.51;2;;;;;;Y
9616;1993 FR3;1993 FR3;V;A;S;C;;3.51;T;14.64;;A;;0.2;;5.018;;;;0.32;0.53;2;;;;;;Y
9718;Gerbefremo;v                    1976 YR1;V;A;S;C;;4.04;T;14.33;;A;;0.2;;6.249;;;;;0.17;2;;;;;;Y
9753;1990 QL3;1990 QL3;V;A;S;C;;4.27;T;14.21;;A;;0.2;;4.356;;;;;0.2;2;;;;;;Y
9872;Solf;1992 DJ4;V;A;S;C;;3.33;T;14.75;;A;;0.2;;11.598;;;;;0.54;2;;;;;;Y
9898;* Yoshiro;1996 DF;V;A;S;C;;5.66;M;13.6;;A;;0.2;S;6.5315;;;;;;2;N;;;Y;;
9899;1996 EH;1996 EH;V;A;S;C;;6.21;M;13.4;;A;;0.2;;5.27;;;;;0.05;2;-;;;;;
10001;Palermo;1969 TM1;V;A;S;C;;4.31;T;14.19;;A;;0.2;;213.368;;;;;0.97;2;;;;;;Y
10022;Zubov;1979 SU2;V;A;S;C;;4.1;T;14.3;;A;;0.2;;4.564;;;;;0.14;2;;;;;;Y
10159;Tokara;1994 XS4;V;A;S;C;;5.41;M;13.7;;A;;0.2;;5.531;;;;;0.58;3;-;;;;;
10207;Comeniana;1997 QA;V;A;S;C;;5.41;M;13.7;;A;;0.2;;12.84;;;;;0.1;2;;;;;;
10285;Renemichel;sen                  1982 QX1;V;A;S;C;;4.93;M;13.9;;A;;0.2;;;;;;;;;;;;;;
10325;* Bexa;1990 WB2;V;A;S;C;;4.93;M;13.9;;A;;0.2;S;16.3299;;;;;;2;N;;;Y;;
10348;Poelchau;1992 HL4;V;A;S;C;;4.67;T;14.02;;A;;0.2;;3.31;;;;;0.17;2;;;;;;Y
10349;1992 LN;1992 LN;V;A;S;C;;4.76;T;13.98;;A;;0.2;;2.867;;;;;0.09;1;;;;;;Y
10477;* Lacumparsi;ta                   1981 ET41;V;A;S;C;;2.97;M;15;;A;;0.2;S;5.2175;;;;;;2;N;;;Y;;
