NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
80775;2000 CN65;2000 CN65;V;A;S;C;;1.61;T;16.33;;A;;0.2;;5.362;;;;;0.54;2;;;;;;Y
80940;2000 DD86;2000 DD86;V;A;S;C;;2.15;M;15.7;;A;;0.2;;3.48;;;;;0.36;2;+;;;;;
80954;2000 DZ98;2000 DZ98;V;A;S;C;;1.94;T;15.93;;A;;0.2;;21.048;;;;;0.82;2;;;;;;Y
81174;2000 EO170;2000 EO170;V;A;S;C;;2.17;T;15.68;;A;;0.2;;5.86;;;;;0.61;2;;;;;;Y
81178;2000 EB175;2000 EB175;V;A;S;C;;2.15;M;15.7;;A;;0.2;;;;;;;;;HN;;;;;Y
81263;2000 FZ43;2000 FZ43;V;A;S;C;;1.96;M;15.9;;A;;0.2;;6.3;;;;;0.8;3;-;;;;;
82660;2001 PG16;2001 PG16;V;A;S;C;;1.99;T;15.87;;A;;0.2;;5.631;;;;0.33;0.95;2;;;;;;
84597;2002 VD31;2002 VD31;V;A;S;C;;1.67;T;16.25;;A;;0.2;;5.351;;;;;0.08;1;;;;;;Y
84668;2002 VS82;2002 VS82;V;A;S;C;;2.17;T;15.68;;A;;0.2;;6.67;;;;;0.61;2;+;;;;;Y
85611;1998 HW16;1998 HW16;V;A;C;C;;1.88;M;16;;A;;0.2;;;;;;;;;HN;;;;;Y
86653;2000 EY170;2000 EY170;V;A;S;C;;1.96;M;15.9;;A;;0.2;;;;;;;;;HN;;;;;Y
88352;2001 OJ86;2001 OJ86;V;A;S;C;;2.25;M;15.6;;A;;0.2;;7.01;;;;;0.17;2;-;;;;;
88367;2001 PY8;2001 PY8;V;A;S;C;;2.12;T;15.73;;A;;0.2;;3.962;;;;0.44;0.51;2;;;;;;Y
88531;2001 QO180;2001 QO180;V;A;S;C;;1.35;T;16.71;;A;;0.2;;2.9;;;;;0.44;2;;;;;;Y
88622;2001 RU10;2001 RU10;V;A;S;C;;2.15;M;15.7;;A;;0.2;;4.524;;;;0.34;0.36;2;;;;;;Y
88742;2001 SU48;2001 SU48;V;A;S;C;;1.55;T;16.42;;A;;0.2;;7.44;;;;;0.66;2;;;;;;Y
89198;2001 UQ83;2001 UQ83;V;A;S;C;;2.09;T;15.77;;A;;0.2;;7.589;;;;;0.98;2;;;;;;Y
89238;2001 UQ153;2001 UQ153;V;A;S;M;;1.88;M;16;;A;;0.2;>;1;;;>;;0.05;;;;;;Y;
89410;2001 WQ13;2001 WQ13;V;A;S;C;;2.36;M;15.5;;A;;0.2;;10.895;;;;0.24;0.27;2;;;;;;Y
89413;2001 WM21;2001 WM21;V;A;S;C;;1.81;T;16.08;;A;;0.2;;7.876;;;;0.37;0.38;2;;;;;;Y
89736;2002 AC1;2002 AC1;V;A;S;C;;2.59;M;15.3;;A;;0.2;;10.699;;;;0.51;0.55;2;;;;;;Y
90068;2002 VV77;2002 VV77;V;A;S;C;;2.36;M;15.5;;A;;0.2;;;;;;;;;HN;;;;;Y
92498;2000 NH9;2000 NH9;V;A;S;C;;2.15;M;15.7;;A;;0.2;;2.89;;;;;0.35;2;;;;;;
93461;2000 ST363;2000 ST363;V;A;S;C;;1.71;M;16.2;;A;;0.2;;2.845;;;;;0.09;2;-;;;;;Y
95019;2002 AR10;2002 AR10;V;A;S;C;;1.65;T;16.27;;A;;0.2;;4.954;;;;;0.68;2;;;;;;Y
96107;4109 T-2;4109 T-2;V;A;S;M;;1.71;M;16.2;;A;;0.2;>;2.32;;;>;;0.33;;;;;;Y;
96635;1999 GR4;1999 GR4;V;A;S;C;;2.15;T;15.7;;A;;0.2;;54.606;;;;;0.82;2;;;;;;Y
96817;1999 RK166;1999 RK166;V;A;S;C;;2.32;T;15.54;;A;;0.2;;5.631;;;;;0.83;2;;;;;;Y
97674;2000 FJ50;2000 FJ50;V;A;S;C;;2.05;T;15.8;;A;;0.2;;8.161;;;;;0.4;2;;;;;;Y
98384;2000 TG42;2000 TG42;V;A;S;C;;1.45;T;16.56;;A;;0.2;;67.293;;;;;0.75;2;;;;;;Y
99656;2002 HD9;2002 HD9;V;A;S;C;;1.79;T;16.1;;A;;0.2;;5.339;;;;;0.4;2;;;;;;Y
101935;1999 RV22;1999 RV22;V;A;S;C;;1.91;T;15.96;;A;;0.2;;5.786;;;;;0.1;1;;;;;;Y
102529;1999 UD4;1999 UD4;V;A;S;C;;2.49;T;15.39;;A;;0.2;;2.238;;;;;0.07;1;;;;;;Y
102720;1999 VW98;1999 VW98;V;A;S;C;;1.3;T;16.8;;A;;0.2;;3.81;;;;;0.77;1;+;;;;;Y
102798;1999 VF165;1999 VF165;V;A;S;C;;1.55;T;16.42;;A;;0.2;;6.36;;;;;0.68;1;+;;;;;Y
103071;1999 XU150;1999 XU150;V;A;S;C;;1.05;T;17.26;;A;;0.2;;7.399;;;;;0.55;2;;;;;;Y
103132;1999 XY198;1999 XY198;V;A;S;C;;2.15;M;15.7;;A;;0.2;;2.51;;;;;0.17;2;+;;;;;
104087;2000 EV32;2000 EV32;V;A;S;M;;2.25;M;15.6;;A;;0.2;>;1.98;;;>;;0.2;;;;;;Y;
104182;2000 EB96;2000 EB96;V;A;S;C;;1.61;T;16.33;;A;;0.2;;195.786;;;;;0.71;2;;;;;;Y
109137;2001 QO54;2001 QO54;V;A;S;C;;1.57;T;16.39;;A;;0.2;;5.58;;;;;1.13;2;;;;;;Y
109362;2001 QO157;2001 QO157;V;A;S;C;;1.66;T;16.26;;A;;0.2;;194.772;;;;;0.08;1;;;;;;Y
109653;2001 RS7;2001 RS7;V;A;S;C;;1.26;T;16.86;;A;;0.2;;6.499;;;;0.67;0.68;2;;;;;;Y
110091;2001 SW120;2001 SW120;V;A;C;C;;2.36;M;15.5;;A;;0.2;;;;;;;;;HN;;;;;Y
114146;2002 VT62;2002 VT62;V;A;S;C;;1.49;T;16.5;;A;;0.2;;7.626;;;;;1.11;2;;;;;;Y
114297;2002 XC32;2002 XC32;V;A;S;C;;1.88;M;16;;A;;0.2;;;;;;;;;HN;;;;;Y
114332;2002 XX64;2002 XX64;V;A;S;C;;2.15;M;15.7;;A;;0.2;;;;;;;;;HN;;;;;Y
115358;2003 SY249;2003 SY249;V;A;S;C;;1.47;T;16.53;;A;;0.2;;4.85;;;;;0.43;2;-;;;;;Y
117982;2134 T-1;2134 T-1;V;A;S;C;;1.41;T;16.62;;A;;0.2;;6.86;;;;;0.6;1;DA;;;;;Y
118594;2000 GZ89;2000 GZ89;V;A;S;C;;1.37;T;16.68;;A;;0.2;;5.325;;;;0.73;0.87;2;;;;;;Y
118612;2000 GU143;2000 GU143;V;A;S;C;;2.15;M;15.7;;A;;0.2;;8.909;;;;0.57;0.72;2;;;;;;Y
119104;2001 ON53;2001 ON53;V;A;S;M;;1.63;M;16.3;;A;;0.2;>;0.92;;;>;;0.18;;;;;;Y;
119341;2001 SL168;2001 SL168;V;A;S;C;;2.59;M;15.3;;A;;0.2;;3.106;;;;;0.29;2;;;;;;Y
119409;2001 TH72;2001 TH72;V;A;S;C;;2.04;L;15.86;;A;;0.2;;8.74;;;;;1.28;1;+;;;;;
122154;2000 JS59;2000 JS59;V;A;S;C;;2;T;15.86;;A;;0.2;;3.53;;;;;0.29;2;;;;;;Y
122179;2000 KT38;2000 KT38;V;A;S;M;;1.79;M;16.1;;A;;0.2;>;1.15;;;>;;0.09;;;;;;Y;
124297;2001 QE57;2001 QE57;V;A;S;C;;1.63;T;16.3;;A;;0.2;;5.78;;;;;0.77;2;;;;;;Y
124497;2001 RF45;2001 RF45;V;A;S;C;;2.29;T;15.57;;A;;0.2;;7.252;;;;;0.21;2;;;;;;Y
124548;2001 RT126;2001 RT126;V;A;S;C;;1.71;M;16.2;;A;;0.2;;6.498;;;;;0.25;2;;;;;;Y
124965;2001 TF104;2001 TF104;V;A;S;C;;1.6;T;16.34;;A;;0.2;;4.955;;;;;0.73;2;;;;;;Y
125001;2001 TG154;2001 TG154;V;A;S;C;;1.77;T;16.12;;A;;0.2;;5.571;;;;;0.42;2;;;;;;Y
125390;2001 VZ84;2001 VZ84;V;A;S;C;;1.49;T;16.5;;A;;0.2;;9.14;;;;;0.53;2;;;;;;Y
125648;* 2001 XS66;2001 XS66;V;A;S;C;;2.36;M;15.5;;A;;0.2;S;7.5811;;;;;;2;N;;;Y;;
126267;2002 AN86;2002 AN86;V;A;S;C;;1.82;L;16.1;;A;;0.2;;;;;;;;;N;;;;;
128471;2004 OG13;2004 OG13;V;A;S;M;;1.63;M;16.3;;A;;0.2;;3;;;;;0.97;2;;;;;Y;
129952;1999 TW220;1999 TW220;V;A;S;C;;1.84;T;16.04;;A;;0.2;;17.109;;;;;0.07;1;;;;;;Y
130623;2000 SP41;2000 SP41;V;A;S;C;;1.71;M;16.2;;A;;0.2;;4.505;;;;;0.52;2;;;;;;Y
130682;2000 SM122;2000 SM122;V;A;S;C;;2.47;M;15.4;;A;;0.2;;5.046;;;;;0.59;2;;;;;;Y
130753;2000 SA275;2000 SA275;V;A;S;C;;1.71;M;16.2;;A;;0.2;;53.595;;;;;0.67;2;;;;;;Y
130820;2000 UH17;2000 UH17;V;A;S;C;;1.38;T;16.67;;A;;0.2;;12.98;;;;;0.7;2;;;;;;Y
134554;1999 RE169;1999 RE169;V;A;S;C;;1.37;T;16.68;;A;;0.2;;4.117;;;;;0.4;2;;;;;;Y
134702;1999 XQ125;1999 XQ125;V;A;S;C;;1.75;T;16.15;;A;;0.2;;3.84;;;;;0.28;2;;;;;;Y
135378;2001 TG148;2001 TG148;V;A;S;C;;1.5;T;16.49;;A;;0.2;;9.603;;;;0.61;0.64;2;;;;;;Y
136578;1981 EL45;1981 EL45;V;A;S;C;;1.61;T;16.33;;A;;0.2;;5.223;;;;;0.41;2;;;;;;Y
136734;1995 VF6;1995 VF6;V;A;S;C;;1.01;T;17.35;;A;;0.2;;21.966;;;;;0.4;2;;;;;;Y
137359;1999 TS113;1999 TS113;V;A;S;C;;1.7;T;16.22;;A;;0.2;;5.437;;;;;0.56;2;;;;;;Y
137736;1999 XX125;1999 XX125;V;A;S;C;;1.36;T;16.7;;A;;0.2;;67.796;;;;;0.6;2;;;;;;Y
138503;2000 KC58;2000 KC58;V;A;S;C;;1.9;T;15.97;;A;;0.2;;6.86;;;;;0.2;2;;;;;;Y
139312;2001 KO23;2001 KO23;V;A;S;C;;1.3;T;16.8;;A;;0.2;;4.003;;;;;0.49;2;;;;;;Y
141977;2002 PZ127;2002 PZ127;V;A;S;C;;1.71;M;16.2;;A;;0.2;;19.59;;;;;0.1;1;;;;;;Y
143950;2003 YR120;2003 YR120;V;A;S;C;;1.34;T;16.73;;A;;0.2;;17.105;;;;;0.62;2;;;;;;Y
144033;2004 BO22;2004 BO22;V;A;S;C;;1.36;T;16.7;;A;;0.2;;4.368;;;;;0.43;2;;;;;;Y
144054;2004 BM34;2004 BM34;V;A;S;C;;1.36;T;16.69;;A;;0.2;;10.605;;;;;0.79;2;;;;;;Y
144067;2004 BP44;2004 BP44;V;A;S;C;;1.43;T;16.59;;A;;0.2;;5.49;;;;;1.19;2;;;;;;Y
145105;2005 GW101;2005 GW101;V;A;S;C;;1.42;T;16.61;;A;;0.2;;6.23;;;;;0.53;2;;;;;;Y
146021;2000 DB4;2000 DB4;V;A;S;C;;1.56;M;16.4;;A;;0.2;;;;;;;;;HN;;;;;Y
147037;2002 RZ51;2002 RZ51;V;A;S;C;;1.59;T;16.36;;A;;0.2;;4.234;;;;;0.4;2;;;;;;Y
147213;2002 WX13;2002 WX13;V;A;S;C;;1.88;M;16;;A;;0.2;;;;;;;;;HN;;;;;Y
147887;2006 RY26;2006 RY26;V;A;S;C;;1.56;M;16.4;;A;;0.2;;4.6566;;;;;0.8;3;;;;;;Y
149385;2002 YS23;2002 YS23;V;A;S;C;;1.61;T;16.33;;A;;0.2;;3.316;;;;0.28;0.29;2;;;;;;Y
149686;2004 GB35;2004 GB35;V;A;S;C;;1.71;M;16.2;;A;;0.2;>;72;;;>;;1;2;HN;;;;;Y
151036;2001 UE182;2001 UE182;V;A;S;C;;1.94;T;15.93;;A;;0.2;;4.974;;;;;0.36;2;;;;;;Y
153672;2001 TO189;2001 TO189;V;A;S;C;;1.5;T;16.49;;A;;0.2;;28.24;;;;;0.66;2;;;;;;Y
154487;2003 EZ35;2003 EZ35;V;A;S;C;;1.73;T;16.17;;A;;0.2;;5.75;;;;;0.56;2;;;;;;Y
155712;2000 QA175;2000 QA175;V;A;S;C;;1.54;T;16.43;;A;;0.2;;3.17;;;;;0.45;2;;;;;;Y
155749;2000 SR97;2000 SR97;V;A;S;M;;1.96;M;15.9;;A;;0.2;>;1.15;;;>;;0.2;;;;;;Y;
156230;2001 UE119;2001 UE119;V;A;S;C;;1.79;M;16.1;;A;;0.2;;5.6;;;;;0.8;2;+;;;;;Y
157124;2004 NJ13;2004 NJ13;V;A;S;C;;1.63;M;16.3;;A;;0.2;;;;;;;;;;;;;;Y
159569;2001 UD163;2001 UD163;V;A;S;M;;1.71;M;16.2;;A;;0.2;>;0.97;;;>;;0.63;;;;;;Y;
161210;2002 UG6;2002 UG6;V;A;S;C;;1.53;T;16.45;;A;;0.2;;34.207;;;;;0.43;2;;;;;;Y
161772;2006 TG89;2006 TG89;V;A;S;C;;1.12;T;17.12;;A;;0.2;;7.194;;;;;0.57;2;;;;;;Y
162713;2000 UY95;2000 UY95;V;A;S;C;;1.79;M;16.1;;A;;0.2;;4.098;;;;;0.4;2;;;;;;Y
170965;2005 CW11;2005 CW11;V;A;S;C;;1.36;M;16.7;;A;;0.2;;;;;;;;;HN;;;;;Y
171400;2006 QZ98;2006 QZ98;V;A;S;C;;1.77;T;16.13;;A;;0.2;;4.852;;;;;0.65;2;;;;;;Y
174136;2002 NR15;2002 NR15;V;A;S;C;;1.4;T;16.63;;A;;0.2;;2.316;;;;;0.1;1;;;;;;Y
174837;2003 YP112;2003 YP112;V;A;S;C;;1.44;T;16.58;;A;;0.2;;42.97;;;;;0.87;2;;;;;;Y
176829;2002 TH166;2002 TH166;V;A;S;C;;1.28;T;16.84;;A;;0.2;;14.596;;;;;0.77;2;;;;;;Y
177302;2003 YB7;2003 YB7;V;A;S;C;;1.26;T;16.86;;A;;0.2;;7.735;;;;;0.88;2;;;;;;Y
180511;2004 DC10;2004 DC10;V;A;S;C;;1.53;T;16.44;;A;;0.2;;13.288;;;;;0.25;2;;;;;;Y
183050;2002 QV70;2002 QV70;V;A;S;C;;0.87;3 T;17.66;;A;;0.2;;39.635;;;;;0.78;2;;;;;;Y
183263;2002 TG215;2002 TG215;V;A;S;C;;1.39;T;16.65;;A;;0.2;;49.831;;;;;0.56;2;;;;;;Y
183303;2002 UU33;2002 UU33;V;A;S;C;;1.41;T;16.62;;A;;0.2;;6.006;;;;;0.48;2;;;;;;Y
184483;2005 OX14;2005 OX14;V;A;S;C;;1.4;T;16.63;;A;;0.2;;6.998;;;;;0.63;2;;;;;;Y
185360;2006 VZ88;2006 VZ88;V;A;S;C;;1.2;T;16.97;;A;;0.2;;5.65;;;;;0.97;2;;;;;;Y
186859;2004 GW56;2004 GW56;V;A;S;C;;1.38;T;16.67;;A;;0.2;;54.724;;;;;0.38;2;;;;;;Y
188451;2004 HR59;2004 HR59;V;A;S;C;;1.56;M;16.4;;A;;0.2;;;;;;;;;;;;;;
188967;2008 CW153;2008 CW153;V;A;S;C;;1.11;T;17.15;;A;;0.2;;40.506;;;;;0.55;2;;;;;;Y
189218;2004 DC37;2004 DC37;V;A;S;C;;1.56;M;16.4;;A;;0.2;;41.2;;;;;0.19;2;-;;;;;
189707;2001 TD148;2001 TD148;V;A;S;M;;1.71;M;16.2;;A;;0.2;>;1.5;;;>;;0.16;;;;;;Y;
189740;2001 XA80;2001 XA80;V;A;S;C;;1.33;T;16.74;;A;;0.2;;9.32;;;;;0.37;2;;;;;;Y
190509;2000 HX47;2000 HX47;V;A;S;M;;1.18;M;17;;A;;0.2;>;1.72;;;>;;0.4;;;;;;Y;
194912;2002 AG114;2002 AG114;V;A;S;C;;1.88;M;16;;A;;0.2;;12.68;;;;;1;2;;;;;;Y
196467;2003 JX8;2003 JX8;V;A;S;C;;1.2;T;16.97;;A;;0.2;;5.506;;;;;0.55;2;;;;;;Y
197712;2004 PS3;2004 PS3;V;A;S;C;;1.55;T;16.41;;A;;0.2;;;;;;;0.86;;;;;;;Y
197746;2004 PN30;2004 PN30;V;A;S;M;;1.49;M;16.5;;A;;0.2;>;0.92;;;>;;0.14;;;;;;Y;
200772;2001 XJ23;2001 XJ23;V;A;S;C;;1.56;M;16.4;;A;;0.2;;8.9;;;;;0.66;2;-;;;;;Y
209060;2003 QU50;2003 QU50;V;A;S;C;;1.79;M;16.1;;A;;0.2;;4.14;;;;;0.6;3;-;;;;;
213900;2003 UN34;2003 UN34;V;A;S;C;;0.89;3 T;17.61;;A;;0.2;;4.9;;;;;0.58;1;+;;;;;Y
216732;2005 GA169;2005 GA169;V;A;S;C;;1.22;T;16.94;;A;;0.2;;4.66;;;;;0.27;2;-;;;;;Y
217202;2002 TP198;2002 TP198;V;A;S;C;;1.44;T;16.57;;A;;0.2;;13.62;;;;;0.5;1;#NAME?;;;;;Y
218138;2002 RT29;2002 RT29;V;A;S;C;;1.02;T;17.33;;A;;0.2;;4.286;;;;;0.37;2;;;;;;Y
220119;2002 TV47;2002 TV47;V;A;S;C;;1.39;T;16.65;;A;;0.2;;32.975;;;;;0.1;1;;;;;;Y
220205;2002 VH30;2002 VH30;V;A;S;C;;1.13;T;17.1;;A;;0.2;;9.835;;;;;0.36;2;;;;;;Y
223151;2002 XP8;2002 XP8;V;A;S;C;;1.23;T;16.91;;A;;0.2;;11.341;;;;;0.66;2;;;;;;Y
230162;2001 QE244;2001 QE244;V;A;S;C;;1.18;T;17;;A;;0.2;;5.78;;;;;0.47;2;;;;;;Y
230242;2001 UD131;2001 UD131;V;A;S;M;;1.49;M;16.5;;A;;0.2;>;1.33;;;>;;0.11;;;;;;Y;
243370;* 2008 WA112;2008 WA112;V;A;S;C;;1.36;M;16.7;;A;;0.2;S;19.3603;;;;;;2;N;;;Y;;
255623;2006 PV25;2006 PV25;V;A;S;C;;1.05;T;17.27;;A;;0.2;;59.226;;;;;0.52;2;;;;;;Y
255787;2006 RF100;2006 RF100;V;A;S;C;;1.12;T;17.12;;A;;0.2;;4.658;;;;;0.37;2;;;;;;Y
256033;2006 UJ47;2006 UJ47;V;A;S;C;;1.18;M;17;;A;;0.2;;0.6419;;;;;0.08;1;;;;;;Y
257325;2009 HN99;2009 HN99;V;A;S;C;;1.02;T;17.33;;A;;0.2;;4.62;;;;;0.38;2;+;;;;;Y
264331;1999 UG47;1999 UG47;V;A;S;C;;0.95;7 T;17.46;;A;;0.2;;5.85;;;;;0.61;2;;;;;;Y
268906;2007 CR3;2007 CR3;V;A;S;C;;1.56;M;16.4;;A;;0.2;;;;;;;;;HN;;;;;Y
269656;1995 CD5;1995 CD5;V;A;S;C;;1.13;M;17.1;;A;;0.2;;;;;;;;;HN;;;;;Y
273498;2007 AX18;2007 AX18;V;A;S;C;;1.43;T;16.59;;A;;0.2;;9.1;;;;;0.36;2;;;;;;Y
279536;2011 CV;2011 CV;V;A;S;C;;1.26;T;16.87;;A;;0.2;;9.189;;;;;0.72;2;;;;;;Y
283252;2011 EL53;2011 EL53;V;A;S;C;;1.22;T;16.93;;A;;0.2;;8.28;;;;;0.68;2;;;;;;Y
286771;2002 JF23;2002 JF23;V;A;S;C;;1.27;T;16.84;;A;;0.2;;8.584;;;;;0.31;2;;;;;;Y
293743;2007 RL45;2007 RL45;V;A;S;C;;1.16;L;17.09;;A;;0.2;;;;;;;;;N;;;;;
295646;2008 SG280;2008 SG280;V;A;S;C;;1.02;T;17.31;;A;;0.2;;5.342;;;;;0.59;2;;;;;;Y
296886;2010 AF79;2010 AF79;V;A;S;C;;1.06;T;17.24;;A;;0.2;;9.613;;;;0.45;0.69;2;;;;;;Y
307096;2002 AG203;2002 AG203;V;A;S;M;;1.24;M;16.9;;A;;0.2;>;1.5;;;>;;0.56;;;;;;Y;
307391;2002 TY25;2002 TY25;V;A;S;C;;1.4;T;16.63;;A;;0.2;;25.503;;;;;0.08;1;;;;;;Y
319523;2006 RB39;2006 RB39;V;A;S;C;;1.13;M;17.1;;A;;0.2;;2.514;;;;;0.12;1;;;;;;Y
327192;2005 MH22;2005 MH22;V;A;S;C;;0.93;1 T;17.52;;A;;0.2;;7.8;;;;;0.79;2;;;;;;Y
330388;2006 XS51;2006 XS51;V;A;S;C;;0.81;5 T;17.81;;A;;0.2;;7.2;;;;;0.75;1;#NAME?;;;;;Y
332477;2008 ED83;2008 ED83;V;A;S;C;;0.95;3 T;17.47;;A;;0.2;;13.52;;;;;1.12;2;-;;;;;Y
334150;2001 RA129;2001 RA129;V;A;S;C;;1.12;T;17.12;;A;;0.2;;5.294;;;;0.49;0.51;2;;;;;;Y
334707;2003 FH45;2003 FH45;V;A;S;M;;1.36;M;16.7;;A;;0.2;>;1.78;;;>;;0.39;;;;;;Y;
335445;2005 UV354;2005 UV354;V;A;S;C;;0.9;8 T;17.57;;A;;0.2;;6.304;;;;0.6;0.68;2;;;;;;Y
337824;2001 VG28;2001 VG28;V;A;S;C;;0.98;2 T;17.4;;A;;0.2;;2.548;;;;;0.41;2;;;;;;Y
340256;2006 BW139;2006 BW139;V;A;S;C;;1;T;17.36;;A;;0.2;;11.71;;;;;0.5;2;;;;;;Y
342293;2008 TZ35;2008 TZ35;V;A;S;M;;1.3;M;16.8;;A;;0.2;>;1.33;;;>;;0.17;;;;;;Y;
344597;2003 DW3;2003 DW3;V;A;S;C;;1.02;T;17.31;;A;;0.2;;10.636;;;;0.36;0.42;2;;;;;;Y
349755;2009 AE2;2009 AE2;V;A;S;C;;1.49;M;16.5;;A;;0.2;;8.47;;;;;0.61;2;-;;;;;Y
381065;2006 XQ60;2006 XQ60;V;A;S;C;;0.94;0 M;17.5;;A;;0.2;;;;;;;;;HN;;;;;Y
381418;2008 KQ29;2008 KQ29;V;A;S;C;;1.08;M;17.2;;A;;0.2;;;;;;;;;HN;;;;;Y
387135;2012 TC196;2012 TC196;V;A;S;C;;1.26;T;16.87;;A;;0.2;;4.059;;;;0.47;0.65;2;;;;;;Y
389966;2012 TZ200;2012 TZ200;V;A;S;M;;1.24;M;16.9;;A;;0.2;>;1.88;;;>;;0.25;;;;;;Y;
423906;2006 SO275;2006 SO275;V;A;S;C;;1.03;M;17.3;;A;;0.2;;3.0477;;;;;0.12;1;+;;;;;Y
427463;2001 TO219;2001 TO219;V;A;S;C;;1.18;M;17;;A;;0.2;;;;;;;;;HN;;;;;Y
428234;2006 WV182;2006 WV182;V;A;S;C;;0.74;3 T;18.01;;A;;0.2;;2.51;;;;;0.63;1;;;;;;Y
435528;2008 KG25;2008 KG25;V;A;S;C;;0.94;0 M;17.5;;A;;0.2;;;;;;;;;HN;;;;;Y
438202;2005 UE129;2005 UE129;V;A;S;C;;0.85;7 M;17.7;;A;;0.2;>;14;;;>;;0.2;;;;;;;
471002;2009 SN170;2009 SN170;V;A;S;C;;0.94;0 M;17.5;;A;;0.2;;;;;;;;;HN;;;;;Y
484673;2008 UM103;2008 UM103;V;A;S;C;;0.89;7 M;17.6;;A;;0.2;;19.4;;;;;0.6;2;-;;;;;Y
508084;2015 DT86;2015 DT86;V;A;S;C;;0.78;2 T;17.9;;A;;0.2;;5.89;;;;;0.92;2;;;;;;Y
511112;2013 WC14;2013 WC14;V;A;S;C;;0.85;7 M;17.7;;A;;0.2;;;;;;;;;HN;;;;;Y
513723;2012 TK44;2012 TK44;V;A;S;C;;0.68;1 T;18.2;;A;;0.2;;3.36;;;;;0.54;2;;;;;;Y
513917;2014 AF53;2014 AF53;V;A;S;C;;0.71;3 T;18.1;;A;;0.2;;5.36;;;;;0.72;2;;;;;;Y
;2002 RE200;2002 RE200;V;A;S;C;;1.03;T;17.31;;A;;0.2;;4.97;;;;;0.89;2;;;;;;Y
;2005 SK146;2005 SK146;V;A;S;C;;0.84;5 T;17.73;;A;;0.2;;10.43;;;;;0.74;2;;;;;;Y
;2014 TO9;2014 TO9;V;A;S;C;;0.56;9 T;18.59;;A;;0.2;;9.8;;;;;1.07;2;;;;;;Y
